pointid,grid_code
1376,0.0831173
1377,0.0390173
1378,0.0178839
1379,0.0172839
1380,0.0078339
1381,0.0036339
1382,0.0016614
1383,0.0007614
1384,0.0007614
1385,0.0003114
1386,0.0001584
1387,0.0000065
1388,0.0000048
1389,0.0000048
1390,0.0000149
1391,0.0000068
1392,0.0000031
1393,0.0000013
1394,0.0000013
1395,72.0000000
1396,90.3906021
1397,72.4120026
1398,34.6029015
1399,16.2350998
1400,7.9103799
1401,3.8492301
1402,3.3778601
1403,1.6195600
1404,0.7603570
1405,0.3606070
1406,0.1746170
1407,0.1623170
1408,0.0771173
1409,0.0360173
1410,0.0163839
1411,0.0157839
1412,0.0075339
1413,0.0036339
1414,0.0015114
1415,0.0007614
1416,0.0007614
1417,0.0003114
1418,0.0001584
1419,0.0000066
1420,0.0000048
1421,0.0000048
1422,0.0000156
1423,0.0000070
1424,0.0000032
1425,0.0000017
1426,0.0000017
1427,144.0000000
1428,81.4786987
1429,63.5001984
1430,29.7912006
1431,14.6000004
1432,7.0849700
1433,3.3946900
1434,2.9233601
1435,1.3717600
1436,0.6630070
1437,0.3229570
1438,0.1552670
1439,0.1429670
1440,0.0670673
1441,0.0313673
1442,0.0153339
1443,0.0145839
1444,0.0069339
1445,0.0033339
1446,0.0013614
1447,0.0006114
1448,0.0006114
1449,0.0003114
1450,0.0001585
1451,0.0000066
1452,0.0000048
1453,0.0000048
1454,0.0000151
1455,0.0000071
1456,0.0000033
1457,0.0000015
1458,0.0000015
1459,144.0000000
1460,73.3837967
1461,55.4053001
1462,27.0795002
1463,13.1016998
1464,6.2558799
1465,2.9354701
1466,2.4642100
1467,1.2063100
1468,0.5863570
1469,0.2814070
1470,0.1323170
1471,0.1200170
1472,0.0576173
1473,0.0280673
1474,0.0133839
1475,0.0127839
1476,0.0060339
1477,0.0027339
1478,0.0012114
1479,0.0006114
1480,0.0006114
1481,0.0003114
1482,0.0001584
1483,0.0000066
1484,0.0000048
1485,0.0000048
1486,0.0000145
1487,0.0000068
1488,0.0000031
1489,0.0000014
1490,0.0000014
1491,140.8020020
1492,68.4684982
1493,50.4897003
1494,24.3617992
1495,11.5944004
1496,5.4632201
1497,2.6654000
1498,2.1957099
1499,1.0623100
1500,0.5065570
1501,0.2377570
1502,0.1156670
1503,0.1033670
1504,0.0504173
1505,0.0241673
1506,0.0112839
1507,0.0106839
1508,0.0051339
1509,0.0024339
1510,0.0010614
1511,0.0004614
1512,0.0004614
1513,0.0001614
1514,0.0001584
1515,0.0000065
1516,0.0000048
1517,0.0000048
1518,0.0000130
1519,0.0000059
1520,0.0000028
1521,0.0000016
1522,0.0000016
1523,140.8020020
1524,68.4683990
1525,50.4798012
1526,24.3311996
1527,11.5576000
1528,5.4329000
1529,2.6447699
1530,2.1831701
1531,1.0551701
1532,0.5027220
1533,0.2369220
1534,0.1150410
1535,0.1031910
1536,0.0502414
1537,0.0241414
1538,0.0112580
1539,0.0106580
1540,0.0051081
1541,0.0024081
1542,0.0010580
1543,0.0004580
1544,0.0004580
1545,0.0001580
1546,0.0001548
1547,0.0000031
1548,0.0000014
1549,0.0000014
1550,0.0000130
1551,0.0000059
1552,0.0000028
1553,0.0000016
1554,0.0000016
1555,131.8910065
1556,63.5252991
1557,45.3908997
1558,21.3845997
1559,10.0649004
1560,4.8651900
1561,2.3274500
1562,1.8914200
1563,0.8943720
1564,0.4169220
1565,0.2075220
1566,0.1001910
1567,0.0887914
1568,0.0422914
1569,0.0197914
1570,0.0096080
1571,0.0090080
1572,0.0043580
1573,0.0021081
1574,0.0009080
1575,0.0004580
1576,0.0004580
1577,0.0001580
1578,0.0001546
1579,0.0000030
1580,0.0000014
1581,0.0000014
1582,0.0000111
1583,0.0000053
1584,0.0000025
1585,122.7900009
1586,57.5649986
1587,39.0643005
1588,18.1599007
1589,8.6575003
1590,4.1171498
1591,1.9331200
1592,1.5538700
1593,0.7282660
1594,0.3549160
1595,0.1770160
1596,0.0837849
1597,0.0732849
1598,0.0341349
1599,0.0167349
1600,0.0080901
1601,0.0075481
1602,0.0035391
1603,0.0016152
1604,0.0008059
1605,0.0003275
1606,0.0003139
1607,0.0001574
1608,0.0000043
1609,0.0000028
1610,0.0000014
1611,0.0000014
1612,0.0000096
1613,0.0000046
1614,0.0000021
1615,0.0000011
1616,0.0000011
1617,72.0000000
1618,109.5049973
1619,43.6688995
1620,29.2087994
1621,13.9101000
