pointid,grid_code
1364,0.0022823
1365,0.0045150
1366,0.0057104
1367,0.0055604
1368,0.0048064
1369,0.0037832
1370,0.0016002
1371,0.0013002
1372,0.0010002
1373,0.0007002
1374,0.0004907
1375,0.0003407
1376,0.0003407
1377,0.0001907
1378,0.0000120
1379,0.0000120
1380,0.0000120
1381,0.0000120
1382,0.0000079
1383,0.0000054
1384,0.0000038
1385,0.0000029
1386,0.0000017
1387,0.0001543
1388,0.0061277
1389,0.0168445
1390,0.0212225
1391,0.0218168
1392,0.0182168
1393,0.0145600
1394,0.0100152
1395,0.0046002
1396,0.0032502
1397,0.0028002
1398,0.0017502
1399,0.0010907
1400,0.0007907
1401,0.0004907
1402,0.0004907
1403,0.0001620
1404,0.0001620
1405,0.0000120
1406,0.0000120
1407,0.0000114
1408,0.0000074
1409,0.0000050
1410,0.0000035
1411,0.0000044
1412,0.0000017
1413,0.0000017
1414,0.0096839
1415,0.0547315
1416,0.0778989
1417,0.0839271
1418,0.0694978
1419,0.0563733
1420,0.0451233
1421,0.0318980
1422,0.0201957
1423,0.0101502
1424,0.0065502
1425,0.0058002
1426,0.0035502
1427,0.0022907
1428,0.0013907
1429,0.0009407
1430,0.0007907
1431,0.0004620
1432,0.0001620
1433,0.0001620
1434,0.0000120
1435,0.0000159
1436,0.0000100
1437,0.0000065
1438,0.0000044
1439,0.0000072
1440,0.0000041
1441,0.0000030
1442,0.0000016
1443,0.1864530
1444,0.2774350
1445,0.3849410
1446,0.3511800
1447,0.2340460
1448,0.1477310
1449,0.1223810
1450,0.0770045
1451,0.0456101
1452,0.0226002
1453,0.0136002
1454,0.0122502
1455,0.0071502
1456,0.0040907
1457,0.0022907
1458,0.0013907
1459,0.0012407
1460,0.0007620
1461,0.0003120
1462,0.0001620
1463,0.0001620
1464,0.0000132
1465,0.0000084
1466,0.0000055
1467,0.0000038
1468,0.0000105
1469,0.0000050
1470,0.0000050
1471,0.0000027
1472,0.0000014
1473,1.1911100
1474,0.8318480
1475,1.6930500
1476,1.0046300
1477,0.5634210
1478,0.3118070
1479,0.2660570
1480,0.1508690
1481,0.0842234
1482,0.0430002
1483,0.0241002
1484,0.0220002
1485,0.0124002
1486,0.0069407
1487,0.0037907
1488,0.0022907
1489,0.0019907
1490,0.0012120
1491,0.0006120
1492,0.0003120
1493,0.0001620
1494,0.0001670
1495,0.0001605
1496,0.0000067
1497,0.0000045
1498,0.0000161
1499,0.0000087
1500,0.0000076
1501,0.0000041
1502,0.0000022
1503,0.0000014
1504,7.1999998
1505,9.4715300
1506,8.0758896
1507,3.6914899
1508,1.8414400
1509,0.9604490
1510,0.5107470
1511,0.4420470
1512,0.2386550
1513,0.1314170
1514,0.0679002
1515,0.0373002
1516,0.0340002
1517,0.0188502
1518,0.0102407
1519,0.0057407
1520,0.0031907
1521,0.0030407
1522,0.0016620
1523,0.0009120
1524,0.0004620
1525,0.0003120
1526,0.0001710
1527,0.0001628
1528,0.0000080
1529,0.0000052
1530,0.0000227
1531,0.0000120
1532,0.0000107
1533,0.0000058
1534,0.0000031
1535,0.0000017
1536,7.1999998
1537,10.4762001
1538,8.6303396
1539,3.9831100
1540,1.9959000
1541,1.0431300
1542,0.5554670
1543,0.4663670
1544,0.2521670
1545,0.1387670
1546,0.0722287
1547,0.0396787
1548,0.0353287
1549,0.0195787
1550,0.0106691
1551,0.0058691
1552,0.0033191
1553,0.0030191
1554,0.0016624
1555,0.0009124
1556,0.0004624
1557,0.0003124
1558,0.0001757
1559,0.0001656
1560,0.0000098
1561,0.0000064
1562,0.0000231
1563,0.0000122
1564,0.0000107
1565,0.0000058
1566,0.0000031
